"","Survived","Pclass","Sex","Age","Age.factor"
"1","No","3","male",22,"17-31"
"2","Sí","1","female",38,"32-51"
"3","Sí","3","female",26,"17-31"
"4","Sí","1","female",35,"32-51"
"5","No","3","male",35,"32-51"
"6","No","3","male",25,"17-31"
"7","No","1","male",54,"52-64"
"8","No","3","male",2,"0-16"
"9","Sí","3","female",27,"17-31"
"10","Sí","2","female",14,"0-16"
"11","Sí","3","female",4,"0-16"
"12","Sí","1","female",58,"52-64"
"13","No","3","male",20,"17-31"
"14","No","3","male",39,"32-51"
"15","No","3","female",14,"0-16"
"16","Sí","2","female",55,"52-64"
"17","No","3","male",2,"0-16"
"18","Sí","2","male",30,"17-31"
"19","No","3","female",31,"17-31"
"20","Sí","3","female",21.5,"17-31"
"21","No","2","male",35,"32-51"
"22","Sí","2","male",34,"32-51"
"23","Sí","3","female",15,"0-16"
"24","Sí","1","male",28,"17-31"
"25","No","3","female",8,"0-16"
"26","Sí","3","female",38,"32-51"
"27","No","3","male",25,"17-31"
"28","No","1","male",19,"17-31"
"29","Sí","3","female",21.5,"17-31"
"30","No","3","male",25,"17-31"
"31","No","1","male",40,"32-51"
"32","Sí","1","female",35,"32-51"
"33","Sí","3","female",21.5,"17-31"
"34","No","2","male",66,"65+"
"35","No","1","male",28,"17-31"
"36","No","1","male",42,"32-51"
"37","Sí","3","male",25,"17-31"
"38","No","3","male",21,"17-31"
"39","No","3","female",18,"17-31"
"40","Sí","3","female",14,"0-16"
"41","No","3","female",40,"32-51"
"42","No","2","female",27,"17-31"
"43","No","3","male",25,"17-31"
"44","Sí","2","female",3,"0-16"
"45","Sí","3","female",19,"17-31"
"46","No","3","male",25,"17-31"
"47","No","3","male",25,"17-31"
"48","Sí","3","female",21.5,"17-31"
"49","No","3","male",25,"17-31"
"50","No","3","female",18,"17-31"
"51","No","3","male",7,"0-16"
"52","No","3","male",21,"17-31"
"53","Sí","1","female",49,"32-51"
"54","Sí","2","female",29,"17-31"
"55","No","1","male",65,"65+"
"56","Sí","1","male",40,"32-51"
"57","Sí","2","female",21,"17-31"
"58","No","3","male",28.5,"17-31"
"59","Sí","2","female",5,"0-16"
"60","No","3","male",11,"0-16"
"61","No","3","male",22,"17-31"
"62","Sí","1","female",38,"32-51"
"63","No","1","male",45,"32-51"
"64","No","3","male",4,"0-16"
"65","No","1","male",40,"32-51"
"66","Sí","3","male",25,"17-31"
"67","Sí","2","female",29,"17-31"
"68","No","3","male",19,"17-31"
"69","Sí","3","female",17,"17-31"
"70","No","3","male",26,"17-31"
"71","No","2","male",32,"32-51"
"72","No","3","female",16,"0-16"
"73","No","2","male",21,"17-31"
"74","No","3","male",26,"17-31"
"75","Sí","3","male",32,"32-51"
"76","No","3","male",25,"17-31"
"77","No","3","male",25,"17-31"
"78","No","3","male",25,"17-31"
"79","Sí","2","male",0.83,"0-16"
"80","Sí","3","female",30,"17-31"
"81","No","3","male",22,"17-31"
"82","Sí","3","male",29,"17-31"
"83","Sí","3","female",21.5,"17-31"
"84","No","1","male",28,"17-31"
"85","Sí","2","female",17,"17-31"
"86","Sí","3","female",33,"32-51"
"87","No","3","male",16,"0-16"
"88","No","3","male",25,"17-31"
"89","Sí","1","female",23,"17-31"
"90","No","3","male",24,"17-31"
"91","No","3","male",29,"17-31"
"92","No","3","male",20,"17-31"
"93","No","1","male",46,"32-51"
"94","No","3","male",26,"17-31"
"95","No","3","male",59,"52-64"
"96","No","3","male",25,"17-31"
"97","No","1","male",71,"65+"
"98","Sí","1","male",23,"17-31"
"99","Sí","2","female",34,"32-51"
"100","No","2","male",34,"32-51"
"101","No","3","female",28,"17-31"
"102","No","3","male",25,"17-31"
"103","No","1","male",21,"17-31"
"104","No","3","male",33,"32-51"
"105","No","3","male",37,"32-51"
"106","No","3","male",28,"17-31"
"107","Sí","3","female",21,"17-31"
"108","Sí","3","male",25,"17-31"
"109","No","3","male",38,"32-51"
"110","Sí","3","female",21.5,"17-31"
"111","No","1","male",47,"32-51"
"112","No","3","female",14.5,"0-16"
"113","No","3","male",22,"17-31"
"114","No","3","female",20,"17-31"
"115","No","3","female",17,"17-31"
"116","No","3","male",21,"17-31"
"117","No","3","male",70.5,"65+"
"118","No","2","male",29,"17-31"
"119","No","1","male",24,"17-31"
"120","No","3","female",2,"0-16"
"121","No","2","male",21,"17-31"
"122","No","3","male",25,"17-31"
"123","No","2","male",32.5,"32-51"
"124","Sí","2","female",32.5,"32-51"
"125","No","1","male",54,"52-64"
"126","Sí","3","male",12,"0-16"
"127","No","3","male",25,"17-31"
"128","Sí","3","male",24,"17-31"
"129","Sí","3","female",21.5,"17-31"
"130","No","3","male",45,"32-51"
"131","No","3","male",33,"32-51"
"132","No","3","male",20,"17-31"
"133","No","3","female",47,"32-51"
"134","Sí","2","female",29,"17-31"
"135","No","2","male",25,"17-31"
"136","No","2","male",23,"17-31"
"137","Sí","1","female",19,"17-31"
"138","No","1","male",37,"32-51"
"139","No","3","male",16,"0-16"
"140","No","1","male",24,"17-31"
"141","No","3","female",21.5,"17-31"
"142","Sí","3","female",22,"17-31"
"143","Sí","3","female",24,"17-31"
"144","No","3","male",19,"17-31"
"145","No","2","male",18,"17-31"
"146","No","2","male",19,"17-31"
"147","Sí","3","male",27,"17-31"
"148","No","3","female",9,"0-16"
"149","No","2","male",36.5,"32-51"
"150","No","2","male",42,"32-51"
"151","No","2","male",51,"32-51"
"152","Sí","1","female",22,"17-31"
"153","No","3","male",55.5,"52-64"
"154","No","3","male",40.5,"32-51"
"155","No","3","male",25,"17-31"
"156","No","1","male",51,"32-51"
"157","Sí","3","female",16,"0-16"
"158","No","3","male",30,"17-31"
"159","No","3","male",25,"17-31"
"160","No","3","male",25,"17-31"
"161","No","3","male",44,"32-51"
"162","Sí","2","female",40,"32-51"
"163","No","3","male",26,"17-31"
"164","No","3","male",17,"17-31"
"165","No","3","male",1,"0-16"
"166","Sí","3","male",9,"0-16"
"167","Sí","1","female",35,"32-51"
"168","No","3","female",45,"32-51"
"169","No","1","male",40,"32-51"
"170","No","3","male",28,"17-31"
"171","No","1","male",61,"52-64"
"172","No","3","male",4,"0-16"
"173","Sí","3","female",1,"0-16"
"174","No","3","male",21,"17-31"
"175","No","1","male",56,"52-64"
"176","No","3","male",18,"17-31"
"177","No","3","male",25,"17-31"
"178","No","1","female",50,"32-51"
"179","No","2","male",30,"17-31"
"180","No","3","male",36,"32-51"
"181","No","3","female",21.5,"17-31"
"182","No","2","male",30,"17-31"
"183","No","3","male",9,"0-16"
"184","Sí","2","male",1,"0-16"
"185","Sí","3","female",4,"0-16"
"186","No","1","male",40,"32-51"
"187","Sí","3","female",21.5,"17-31"
"188","Sí","1","male",45,"32-51"
"189","No","3","male",40,"32-51"
"190","No","3","male",36,"32-51"
"191","Sí","2","female",32,"32-51"
"192","No","2","male",19,"17-31"
"193","Sí","3","female",19,"17-31"
"194","Sí","2","male",3,"0-16"
"195","Sí","1","female",44,"32-51"
"196","Sí","1","female",58,"52-64"
"197","No","3","male",25,"17-31"
"198","No","3","male",42,"32-51"
"199","Sí","3","female",21.5,"17-31"
"200","No","2","female",24,"17-31"
"201","No","3","male",28,"17-31"
"202","No","3","male",25,"17-31"
"203","No","3","male",34,"32-51"
"204","No","3","male",45.5,"32-51"
"205","Sí","3","male",18,"17-31"
"206","No","3","female",2,"0-16"
"207","No","3","male",32,"32-51"
"208","Sí","3","male",26,"17-31"
"209","Sí","3","female",16,"0-16"
"210","Sí","1","male",40,"32-51"
"211","No","3","male",24,"17-31"
"212","Sí","2","female",35,"32-51"
"213","No","3","male",22,"17-31"
"214","No","2","male",30,"17-31"
"215","No","3","male",25,"17-31"
"216","Sí","1","female",31,"17-31"
"217","Sí","3","female",27,"17-31"
"218","No","2","male",42,"32-51"
"219","Sí","1","female",32,"32-51"
"220","No","2","male",30,"17-31"
"221","Sí","3","male",16,"0-16"
"222","No","2","male",27,"17-31"
"223","No","3","male",51,"32-51"
"224","No","3","male",25,"17-31"
"225","Sí","1","male",38,"32-51"
"226","No","3","male",22,"17-31"
"227","Sí","2","male",19,"17-31"
"228","No","3","male",20.5,"17-31"
"229","No","2","male",18,"17-31"
"230","No","3","female",21.5,"17-31"
"231","Sí","1","female",35,"32-51"
"232","No","3","male",29,"17-31"
"233","No","2","male",59,"52-64"
"234","Sí","3","female",5,"0-16"
"235","No","2","male",24,"17-31"
"236","No","3","female",21.5,"17-31"
"237","No","2","male",44,"32-51"
"238","Sí","2","female",8,"0-16"
"239","No","2","male",19,"17-31"
"240","No","2","male",33,"32-51"
"241","No","3","female",21.5,"17-31"
"242","Sí","3","female",21.5,"17-31"
"243","No","2","male",29,"17-31"
"244","No","3","male",22,"17-31"
"245","No","3","male",30,"17-31"
"246","No","1","male",44,"32-51"
"247","No","3","female",25,"17-31"
"248","Sí","2","female",24,"17-31"
"249","Sí","1","male",37,"32-51"
"250","No","2","male",54,"52-64"
"251","No","3","male",25,"17-31"
"252","No","3","female",29,"17-31"
"253","No","1","male",62,"52-64"
"254","No","3","male",30,"17-31"
"255","No","3","female",41,"32-51"
"256","Sí","3","female",29,"17-31"
"257","Sí","1","female",35,"32-51"
"258","Sí","1","female",30,"17-31"
"259","Sí","1","female",35,"32-51"
"260","Sí","2","female",50,"32-51"
"261","No","3","male",25,"17-31"
"262","Sí","3","male",3,"0-16"
"263","No","1","male",52,"52-64"
"264","No","1","male",40,"32-51"
"265","No","3","female",21.5,"17-31"
"266","No","2","male",36,"32-51"
"267","No","3","male",16,"0-16"
"268","Sí","3","male",25,"17-31"
"269","Sí","1","female",58,"52-64"
"270","Sí","1","female",35,"32-51"
"271","No","1","male",40,"32-51"
"272","Sí","3","male",25,"17-31"
"273","Sí","2","female",41,"32-51"
"274","No","1","male",37,"32-51"
"275","Sí","3","female",21.5,"17-31"
"276","Sí","1","female",63,"52-64"
"277","No","3","female",45,"32-51"
"278","No","2","male",30,"17-31"
"279","No","3","male",7,"0-16"
"280","Sí","3","female",35,"32-51"
"281","No","3","male",65,"65+"
"282","No","3","male",28,"17-31"
"283","No","3","male",16,"0-16"
"284","Sí","3","male",19,"17-31"
"285","No","1","male",40,"32-51"
"286","No","3","male",33,"32-51"
"287","Sí","3","male",30,"17-31"
"288","No","3","male",22,"17-31"
"289","Sí","2","male",42,"32-51"
"290","Sí","3","female",22,"17-31"
"291","Sí","1","female",26,"17-31"
"292","Sí","1","female",19,"17-31"
"293","No","2","male",36,"32-51"
"294","No","3","female",24,"17-31"
"295","No","3","male",24,"17-31"
"296","No","1","male",40,"32-51"
"297","No","3","male",23.5,"17-31"
"298","No","1","female",2,"0-16"
"299","Sí","1","male",40,"32-51"
"300","Sí","1","female",50,"32-51"
"301","Sí","3","female",21.5,"17-31"
"302","Sí","3","male",25,"17-31"
"303","No","3","male",19,"17-31"
"304","Sí","2","female",28,"17-31"
"305","No","3","male",25,"17-31"
"306","Sí","1","male",0.92,"0-16"
"307","Sí","1","female",35,"32-51"
"308","Sí","1","female",17,"17-31"
"309","No","2","male",30,"17-31"
"310","Sí","1","female",30,"17-31"
"311","Sí","1","female",24,"17-31"
"312","Sí","1","female",18,"17-31"
"313","No","2","female",26,"17-31"
"314","No","3","male",28,"17-31"
"315","No","2","male",43,"32-51"
"316","Sí","3","female",26,"17-31"
"317","Sí","2","female",24,"17-31"
"318","No","2","male",54,"52-64"
"319","Sí","1","female",31,"17-31"
"320","Sí","1","female",40,"32-51"
"321","No","3","male",22,"17-31"
"322","No","3","male",27,"17-31"
"323","Sí","2","female",30,"17-31"
"324","Sí","2","female",22,"17-31"
"325","No","3","male",25,"17-31"
"326","Sí","1","female",36,"32-51"
"327","No","3","male",61,"52-64"
"328","Sí","2","female",36,"32-51"
"329","Sí","3","female",31,"17-31"
"330","Sí","1","female",16,"0-16"
"331","Sí","3","female",21.5,"17-31"
"332","No","1","male",45.5,"32-51"
"333","No","1","male",38,"32-51"
"334","No","3","male",16,"0-16"
"335","Sí","1","female",35,"32-51"
"336","No","3","male",25,"17-31"
"337","No","1","male",29,"17-31"
"338","Sí","1","female",41,"32-51"
"339","Sí","3","male",45,"32-51"
"340","No","1","male",45,"32-51"
"341","Sí","2","male",2,"0-16"
"342","Sí","1","female",24,"17-31"
"343","No","2","male",28,"17-31"
"344","No","2","male",25,"17-31"
"345","No","2","male",36,"32-51"
"346","Sí","2","female",24,"17-31"
"347","Sí","2","female",40,"32-51"
"348","Sí","3","female",21.5,"17-31"
"349","Sí","3","male",3,"0-16"
"350","No","3","male",42,"32-51"
"351","No","3","male",23,"17-31"
"352","No","1","male",40,"32-51"
"353","No","3","male",15,"0-16"
"354","No","3","male",25,"17-31"
"355","No","3","male",25,"17-31"
"356","No","3","male",28,"17-31"
"357","Sí","1","female",22,"17-31"
"358","No","2","female",38,"32-51"
"359","Sí","3","female",21.5,"17-31"
"360","Sí","3","female",21.5,"17-31"
"361","No","3","male",40,"32-51"
"362","No","2","male",29,"17-31"
"363","No","3","female",45,"32-51"
"364","No","3","male",35,"32-51"
"365","No","3","male",25,"17-31"
"366","No","3","male",30,"17-31"
"367","Sí","1","female",60,"52-64"
"368","Sí","3","female",21.5,"17-31"
"369","Sí","3","female",21.5,"17-31"
"370","Sí","1","female",24,"17-31"
"371","Sí","1","male",25,"17-31"
"372","No","3","male",18,"17-31"
"373","No","3","male",19,"17-31"
"374","No","1","male",22,"17-31"
"375","No","3","female",3,"0-16"
"376","Sí","1","female",35,"32-51"
"377","Sí","3","female",22,"17-31"
"378","No","1","male",27,"17-31"
"379","No","3","male",20,"17-31"
"380","No","3","male",19,"17-31"
"381","Sí","1","female",42,"32-51"
"382","Sí","3","female",1,"0-16"
"383","No","3","male",32,"32-51"
"384","Sí","1","female",35,"32-51"
"385","No","3","male",25,"17-31"
"386","No","2","male",18,"17-31"
"387","No","3","male",1,"0-16"
"388","Sí","2","female",36,"32-51"
"389","No","3","male",25,"17-31"
"390","Sí","2","female",17,"17-31"
"391","Sí","1","male",36,"32-51"
"392","Sí","3","male",21,"17-31"
"393","No","3","male",28,"17-31"
"394","Sí","1","female",23,"17-31"
"395","Sí","3","female",24,"17-31"
"396","No","3","male",22,"17-31"
"397","No","3","female",31,"17-31"
"398","No","2","male",46,"32-51"
"399","No","2","male",23,"17-31"
"400","Sí","2","female",28,"17-31"
"401","Sí","3","male",39,"32-51"
"402","No","3","male",26,"17-31"
"403","No","3","female",21,"17-31"
"404","No","3","male",28,"17-31"
"405","No","3","female",20,"17-31"
"406","No","2","male",34,"32-51"
"407","No","3","male",51,"32-51"
"408","Sí","2","male",3,"0-16"
"409","No","3","male",21,"17-31"
"410","No","3","female",21.5,"17-31"
"411","No","3","male",25,"17-31"
"412","No","3","male",25,"17-31"
"413","Sí","1","female",33,"32-51"
"414","No","2","male",30,"17-31"
"415","Sí","3","male",44,"32-51"
"416","No","3","female",21.5,"17-31"
"417","Sí","2","female",34,"32-51"
"418","Sí","2","female",18,"17-31"
"419","No","2","male",30,"17-31"
"420","No","3","female",10,"0-16"
"421","No","3","male",25,"17-31"
"422","No","3","male",21,"17-31"
"423","No","3","male",29,"17-31"
"424","No","3","female",28,"17-31"
"425","No","3","male",18,"17-31"
"426","No","3","male",25,"17-31"
"427","Sí","2","female",28,"17-31"
"428","Sí","2","female",19,"17-31"
"429","No","3","male",25,"17-31"
"430","Sí","3","male",32,"32-51"
"431","Sí","1","male",28,"17-31"
"432","Sí","3","female",21.5,"17-31"
"433","Sí","2","female",42,"32-51"
"434","No","3","male",17,"17-31"
"435","No","1","male",50,"32-51"
"436","Sí","1","female",14,"0-16"
"437","No","3","female",21,"17-31"
"438","Sí","2","female",24,"17-31"
"439","No","1","male",64,"52-64"
"440","No","2","male",31,"17-31"
"441","Sí","2","female",45,"32-51"
"442","No","3","male",20,"17-31"
"443","No","3","male",25,"17-31"
"444","Sí","2","female",28,"17-31"
"445","Sí","3","male",25,"17-31"
"446","Sí","1","male",4,"0-16"
"447","Sí","2","female",13,"0-16"
"448","Sí","1","male",34,"32-51"
"449","Sí","3","female",5,"0-16"
"450","Sí","1","male",52,"52-64"
"451","No","2","male",36,"32-51"
"452","No","3","male",25,"17-31"
"453","No","1","male",30,"17-31"
"454","Sí","1","male",49,"32-51"
"455","No","3","male",25,"17-31"
"456","Sí","3","male",29,"17-31"
"457","No","1","male",65,"65+"
"458","Sí","1","female",35,"32-51"
"459","Sí","2","female",50,"32-51"
"460","No","3","male",25,"17-31"
"461","Sí","1","male",48,"32-51"
"462","No","3","male",34,"32-51"
"463","No","1","male",47,"32-51"
"464","No","2","male",48,"32-51"
"465","No","3","male",25,"17-31"
"466","No","3","male",38,"32-51"
"467","No","2","male",30,"17-31"
"468","No","1","male",56,"52-64"
"469","No","3","male",25,"17-31"
"470","Sí","3","female",0.75,"0-16"
"471","No","3","male",25,"17-31"
"472","No","3","male",38,"32-51"
"473","Sí","2","female",33,"32-51"
"474","Sí","2","female",23,"17-31"
"475","No","3","female",22,"17-31"
"476","No","1","male",40,"32-51"
"477","No","2","male",34,"32-51"
"478","No","3","male",29,"17-31"
"479","No","3","male",22,"17-31"
"480","Sí","3","female",2,"0-16"
"481","No","3","male",9,"0-16"
"482","No","2","male",30,"17-31"
"483","No","3","male",50,"32-51"
"484","Sí","3","female",63,"52-64"
"485","Sí","1","male",25,"17-31"
"486","No","3","female",21.5,"17-31"
"487","Sí","1","female",35,"32-51"
"488","No","1","male",58,"52-64"
"489","No","3","male",30,"17-31"
"490","Sí","3","male",9,"0-16"
"491","No","3","male",25,"17-31"
"492","No","3","male",21,"17-31"
"493","No","1","male",55,"52-64"
"494","No","1","male",71,"65+"
"495","No","3","male",21,"17-31"
"496","No","3","male",25,"17-31"
"497","Sí","1","female",54,"52-64"
"498","No","3","male",25,"17-31"
"499","No","1","female",25,"17-31"
"500","No","3","male",24,"17-31"
"501","No","3","male",17,"17-31"
"502","No","3","female",21,"17-31"
"503","No","3","female",21.5,"17-31"
"504","No","3","female",37,"32-51"
"505","Sí","1","female",16,"0-16"
"506","No","1","male",18,"17-31"
"507","Sí","2","female",33,"32-51"
"508","Sí","1","male",40,"32-51"
"509","No","3","male",28,"17-31"
"510","Sí","3","male",26,"17-31"
"511","Sí","3","male",29,"17-31"
"512","No","3","male",25,"17-31"
"513","Sí","1","male",36,"32-51"
"514","Sí","1","female",54,"52-64"
"515","No","3","male",24,"17-31"
"516","No","1","male",47,"32-51"
"517","Sí","2","female",34,"32-51"
"518","No","3","male",25,"17-31"
"519","Sí","2","female",36,"32-51"
"520","No","3","male",32,"32-51"
"521","Sí","1","female",30,"17-31"
"522","No","3","male",22,"17-31"
"523","No","3","male",25,"17-31"
"524","Sí","1","female",44,"32-51"
"525","No","3","male",25,"17-31"
"526","No","3","male",40.5,"32-51"
"527","Sí","2","female",50,"32-51"
"528","No","1","male",40,"32-51"
"529","No","3","male",39,"32-51"
"530","No","2","male",23,"17-31"
"531","Sí","2","female",2,"0-16"
"532","No","3","male",25,"17-31"
"533","No","3","male",17,"17-31"
"534","Sí","3","female",21.5,"17-31"
"535","No","3","female",30,"17-31"
"536","Sí","2","female",7,"0-16"
"537","No","1","male",45,"32-51"
"538","Sí","1","female",30,"17-31"
"539","No","3","male",25,"17-31"
"540","Sí","1","female",22,"17-31"
"541","Sí","1","female",36,"32-51"
"542","No","3","female",9,"0-16"
"543","No","3","female",11,"0-16"
"544","Sí","2","male",32,"32-51"
"545","No","1","male",50,"32-51"
"546","No","1","male",64,"52-64"
"547","Sí","2","female",19,"17-31"
"548","Sí","2","male",30,"17-31"
"549","No","3","male",33,"32-51"
"550","Sí","2","male",8,"0-16"
"551","Sí","1","male",17,"17-31"
"552","No","2","male",27,"17-31"
"553","No","3","male",25,"17-31"
"554","Sí","3","male",22,"17-31"
"555","Sí","3","female",22,"17-31"
"556","No","1","male",62,"52-64"
"557","Sí","1","female",48,"32-51"
"558","No","1","male",40,"32-51"
"559","Sí","1","female",39,"32-51"
"560","Sí","3","female",36,"32-51"
"561","No","3","male",25,"17-31"
"562","No","3","male",40,"32-51"
"563","No","2","male",28,"17-31"
"564","No","3","male",25,"17-31"
"565","No","3","female",21.5,"17-31"
"566","No","3","male",24,"17-31"
"567","No","3","male",19,"17-31"
"568","No","3","female",29,"17-31"
"569","No","3","male",25,"17-31"
"570","Sí","3","male",32,"32-51"
"571","Sí","2","male",62,"52-64"
"572","Sí","1","female",53,"52-64"
"573","Sí","1","male",36,"32-51"
"574","Sí","3","female",21.5,"17-31"
"575","No","3","male",16,"0-16"
"576","No","3","male",19,"17-31"
"577","Sí","2","female",34,"32-51"
"578","Sí","1","female",39,"32-51"
"579","No","3","female",21.5,"17-31"
"580","Sí","3","male",32,"32-51"
"581","Sí","2","female",25,"17-31"
"582","Sí","1","female",39,"32-51"
"583","No","2","male",54,"52-64"
"584","No","1","male",36,"32-51"
"585","No","3","male",25,"17-31"
"586","Sí","1","female",18,"17-31"
"587","No","2","male",47,"32-51"
"588","Sí","1","male",60,"52-64"
"589","No","3","male",22,"17-31"
"590","No","3","male",25,"17-31"
"591","No","3","male",35,"32-51"
"592","Sí","1","female",52,"52-64"
"593","No","3","male",47,"32-51"
"594","No","3","female",21.5,"17-31"
"595","No","2","male",37,"32-51"
"596","No","3","male",36,"32-51"
"597","Sí","2","female",28,"17-31"
"598","No","3","male",49,"32-51"
"599","No","3","male",25,"17-31"
"600","Sí","1","male",49,"32-51"
"601","Sí","2","female",24,"17-31"
"602","No","3","male",25,"17-31"
"603","No","1","male",40,"32-51"
"604","No","3","male",44,"32-51"
"605","Sí","1","male",35,"32-51"
"606","No","3","male",36,"32-51"
"607","No","3","male",30,"17-31"
"608","Sí","1","male",27,"17-31"
"609","Sí","2","female",22,"17-31"
"610","Sí","1","female",40,"32-51"
"611","No","3","female",39,"32-51"
"612","No","3","male",25,"17-31"
"613","Sí","3","female",21.5,"17-31"
"614","No","3","male",25,"17-31"
"615","No","3","male",35,"32-51"
"616","Sí","2","female",24,"17-31"
"617","No","3","male",34,"32-51"
"618","No","3","female",26,"17-31"
"619","Sí","2","female",4,"0-16"
"620","No","2","male",26,"17-31"
"621","No","3","male",27,"17-31"
"622","Sí","1","male",42,"32-51"
"623","Sí","3","male",20,"17-31"
"624","No","3","male",21,"17-31"
"625","No","3","male",21,"17-31"
"626","No","1","male",61,"52-64"
"627","No","2","male",57,"52-64"
"628","Sí","1","female",21,"17-31"
"629","No","3","male",26,"17-31"
"630","No","3","male",25,"17-31"
"631","Sí","1","male",80,"65+"
"632","No","3","male",51,"32-51"
"633","Sí","1","male",32,"32-51"
"634","No","1","male",40,"32-51"
"635","No","3","female",9,"0-16"
"636","Sí","2","female",28,"17-31"
"637","No","3","male",32,"32-51"
"638","No","2","male",31,"17-31"
"639","No","3","female",41,"32-51"
"640","No","3","male",25,"17-31"
"641","No","3","male",20,"17-31"
"642","Sí","1","female",24,"17-31"
"643","No","3","female",2,"0-16"
"644","Sí","3","male",25,"17-31"
"645","Sí","3","female",0.75,"0-16"
"646","Sí","1","male",48,"32-51"
"647","No","3","male",19,"17-31"
"648","Sí","1","male",56,"52-64"
"649","No","3","male",25,"17-31"
"650","Sí","3","female",23,"17-31"
"651","No","3","male",25,"17-31"
"652","Sí","2","female",18,"17-31"
"653","No","3","male",21,"17-31"
"654","Sí","3","female",21.5,"17-31"
"655","No","3","female",18,"17-31"
"656","No","2","male",24,"17-31"
"657","No","3","male",25,"17-31"
"658","No","3","female",32,"32-51"
"659","No","2","male",23,"17-31"
"660","No","1","male",58,"52-64"
